2026-09-09 18:56:30.129 [restartedMain] WARN  o.h.boot.model.internal.ToOneBinder [reqId=N/A, user=N/A] - HHH000491: 'com.decisionhub.entity.Vote.user' uses both @NotFound and FetchType.LAZY. @ManyToOne and @OneToOne associations mapped with @NotFound are forced to EAGER fetching.
2026-09-09 18:56:30.135 [restartedMain] WARN  o.h.boot.model.internal.ToOneBinder [reqId=N/A, user=N/A] - HHH000491: 'com.decisionhub.entity.VoteSelection.option' uses both @NotFound and FetchType.LAZY. @ManyToOne and @OneToOne associations mapped with @NotFound are forced to EAGER fetching.
2026-09-09 18:56:30.136 [restartedMain] WARN  o.h.boot.model.internal.ToOneBinder [reqId=N/A, user=N/A] - HHH000491: 'com.decisionhub.entity.VoteSelection.vote' uses both @NotFound and FetchType.LAZY. @ManyToOne and @OneToOne associations mapped with @NotFound are forced to EAGER fetching.
2026-09-09 18:56:31.432 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator [reqId=N/A, user=N/A] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-09-09 18:56:31.839 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean [reqId=N/A, user=N/A] - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-09-09 18:56:32.111 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory [reqId=N/A, user=N/A] - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-09-09 18:56:32.701 [restartedMain] DEBUG c.d.s.jwt.JwtAuthenticationFilter [reqId=N/A, user=N/A] - Filter 'jwtAuthenticationFilter' configured for use
2026-09-09 18:56:32.702 [restartedMain] DEBUG c.d.filter.MdcLoggingFilter [reqId=N/A, user=N/A] - Filter 'mdcLoggingFilter' configured for use
2026-09-09 18:56:34.297 [restartedMain] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer [reqId=N/A, user=N/A] - Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsServiceImpl
2026-09-09 18:56:34.474 [restartedMain] INFO  c.d.s.impl.LocalStorageServiceImpl [reqId=N/A, user=N/A] - Storage directory initialized successfully at: C:\Users\pabhi\Desktop\collab\Collaborative-Decision-Making-And-Community-Polling-Platform\backend\uploads
2026-09-09 18:56:35.524 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver [reqId=N/A, user=N/A] - Exposing 3 endpoints beneath base path '/actuator'
2026-09-09 18:56:36.115 [restartedMain] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration [reqId=N/A, user=N/A] - Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2026-09-09 18:56:36.624 [restartedMain] WARN  o.s.b.d.a.OptionalLiveReloadServer [reqId=N/A, user=N/A] - Unable to start LiveReload server
2026-09-09 18:56:36.688 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol [reqId=N/A, user=N/A] - Starting ProtocolHandler ["http-nio-8080"]
2026-09-09 18:56:36.716 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer [reqId=N/A, user=N/A] - Tomcat started on port 8080 (http) with context path '/'
2026-09-09 18:56:36.718 [restartedMain] INFO  o.s.m.s.b.SimpleBrokerMessageHandler [reqId=N/A, user=N/A] - Starting...
2026-09-09 18:56:36.719 [restartedMain] INFO  o.s.m.s.b.SimpleBrokerMessageHandler [reqId=N/A, user=N/A] - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@5ade7699]]
2026-09-09 18:56:36.719 [restartedMain] INFO  o.s.m.s.b.SimpleBrokerMessageHandler [reqId=N/A, user=N/A] - Started.
2026-09-09 18:56:36.735 [restartedMain] INFO  c.decisionhub.DecisionHubApplication [reqId=N/A, user=N/A] - Started DecisionHubApplication in 12.699 seconds (process running for 13.577)
2026-09-09 18:56:36.843 [restartedMain] INFO  c.decisionhub.config.DataInitializer [reqId=N/A, user=N/A] - Initializing database with default roles, users, communities and decisions...
2026-09-09 18:56:36.986 [restartedMain] INFO  c.decisionhub.config.DataInitializer [reqId=N/A, user=N/A] - Database initialization completed.
